Kreisschluessel,Year,unemployment_rate,pop_total,pop_male,share_18_25,share_female_18_25,share_female_25_30,share_25_30,gdp_per_capita,haushalte_mit_hohem_einkommen,haushalte_mit_mittlerem_einkommen,haushalte_mit_niedrigem_einkommen,monatliches_haushaltseinkommen,sgb2_quote_2010_2023,share_males,pop_18_25_est,pop_25_30_est,pop_fem_18_25_est,pop_fem_25_30_est,youth_18_29_total,youth_18_29_female,youth_18_29_male,share_youth_18_29,share_males_within_youth,school_leavers_no_qual
01001,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1178.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01001,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1202.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01001,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1200.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01001,2003,13.68,85300,41424,10.52,53.88,45.54,7.32,31.71,NA,NA,NA,1219.32,NA,48.56271981242673,8973.56,6243.96,4834.954128,2843.4993839999997,15217.52,7678.453512,7539.066488,17.84,49.54201793721973,7.54
01001,2004,14.02,85762,41816,11.12,52.79,45.88,7.45,33.44,NA,NA,NA,1212.81,NA,48.7581912735244,9536.7344,6389.268999999999,5034.44208976,2931.3966172,15926.003399999998,7965.83870696,7960.1646930399975,18.569999999999997,49.982186322024766,8.63
01001,2005,18.28,86080,41968,11.32,52.98,46.5,7.7,33.7,NA,NA,NA,1269.74,NA,48.754646840148695,9744.256000000001,6628.16,5162.5068288,3082.0944,16372.416000000001,8244.6012288,8127.814771200001,19.02,49.64334384858044,9.29
01001,2006,15.39,86630,42358,11.35,53,46.76,8.01,34.88,NA,NA,NA,1311.96,NA,48.89530185847858,9832.505,6939.063,5211.22765,3244.7058588,16771.568,8455.9335088,8315.634491199999,19.36,49.58173553719008,8.9
01001,2007,12.5,87792,43170,11.42,52.46,46.37,8.39,34.76,NA,NA,NA,1357.65,NA,49.17304537998907,10025.8464,7365.7488,5259.55902144,3415.49771856,17391.5952,8675.05674,8716.53846,19.81,50.11925795053004,9.01
01001,2008,11.46,88718,43774,11.64,51.67,46.57,8.63,35.01,NA,NA,NA,1347.27,NA,49.34060731756802,10326.7752,7656.3634,5335.8447458400005,3565.56843538,17983.1386,8901.413181220001,9081.725418779997,20.27,50.50133695115934,7.22
01001,2009,12.94,88502,43648,11.66,51.59,46.63,8.77,33.83,NA,NA,NA,1346.54,NA,49.31865946532282,10319.3332,7761.6254,5323.743997879999,3619.2459240200005,18080.958599999998,8942.9899219,9137.968678099998,20.43,50.539182574645125,7.17
