Schluesselzahl,Straftat,Kreisschluessel,Kreisart,Kreis,Einwohner,Erfasste_Faelle,Straftaten_HZ,Versuche_Anzahl,Versuche_Anteil_Prozent,Mit_Schusswaffe_gedroht,Mit_Schusswaffe_geschossen,Aufklaerung_Faelle,Aufklaerungsquote,Tatverdaechtige_Insgesamt,Tatverdaechtige_Maennlich,Tatverdaechtige_Weiblich,Nichtdeutsche_Tatverdaechtige_Anzahl,Nichtdeutsche_Tatverdaechtige_Prozent
*50*00,DiebstahlKfz,01001,SK,Flensburg,86080,424,493,NA,NA,NA,NA,22,5.2,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,01002,SK,Kiel,234433,2232,952,NA,NA,NA,NA,80,3.6,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,01003,SK,Lübeck,211825,2002,945,NA,NA,NA,NA,108,5.4,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,01004,SK,Neumünster,78072,675,865,NA,NA,NA,NA,37,5.5,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,01051,LK,Dithmarschen,137261,432,315,NA,NA,NA,NA,17,3.9,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,01053,LK,Herzogtum Lauenburg,186471,1262,677,NA,NA,NA,NA,57,4.5,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,01054,LK,Nordfriesland,166956,412,247,NA,NA,NA,NA,38,9.2,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,01055,LK,Ostholstein,206040,1374,667,NA,NA,NA,NA,26,1.9,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,01056,LK,Pinneberg,299392,1599,534,NA,NA,NA,NA,85,5.3,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,01057,LK,Plön,135655,925,682,NA,NA,NA,NA,20,2.2,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,01058,LK,Rendsburg-Eckernförde,273039,1827,669,NA,NA,NA,NA,93,5.1,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,01059,LK,Schleswig-Flensburg,199671,863,432,NA,NA,NA,NA,39,4.5,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,01060,LK,Segeberg,257002,1807,703,NA,NA,NA,NA,81,4.5,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,01061,LK,Steinburg,136470,670,491,NA,NA,NA,NA,34,5.1,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,01062,LK,Stormarn,224583,1956,871,NA,NA,NA,NA,72,3.7,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,02000,SK,Hamburg,1743627,21429,1229,NA,NA,NA,NA,793,3.7,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03101,SK,Braunschweig,245273,1717,700,NA,NA,NA,NA,228,13.3,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03102,SK,Salzgitter,107726,239,222,NA,NA,NA,NA,11,4.6,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03103,SK,Wolfsburg,121199,692,571,NA,NA,NA,NA,52,7.5,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03151,LK,Gifhorn,175298,491,280,NA,NA,NA,NA,46,9.4,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03152,LK,Göttingen,262091,1164,444,NA,NA,NA,NA,241,20.7,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03153,LK,Goslar,151452,354,234,NA,NA,NA,NA,51,14.4,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03154,LK,Helmstedt,97749,433,443,NA,NA,NA,NA,31,7.2,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03155,LK,Northeim,146690,437,298,NA,NA,NA,NA,25,5.7,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03156,LK,Osterodeam Harz,81916,118,144,NA,NA,NA,NA,12,10.2,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03157,LK,Peine,134581,328,244,NA,NA,NA,NA,30,9.1,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03158,LK,Wolfenbüttel,126460,205,162,NA,NA,NA,NA,14,6.8,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03241,LK,Hannover,1128543,6681,592,NA,NA,NA,NA,621,9.3,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03251,LK,Diepholz,215548,998,463,NA,NA,NA,NA,238,23.8,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03252,LK,Hameln-Pyrmont,159840,300,188,NA,NA,NA,NA,28,9.3,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03254,LK,Hildesheim,290643,721,248,NA,NA,NA,NA,85,11.8,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03255,LK,Holzminden,77918,107,137,NA,NA,NA,NA,10,9.3,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03256,LK,Nienburg (Weser),125870,366,291,NA,NA,NA,NA,85,23.2,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03257,LK,Schaumburg,165557,472,285,NA,NA,NA,NA,59,12.5,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03351,LK,Celle,182444,763,418,NA,NA,NA,NA,165,21.6,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03352,LK,Cuxhaven,205276,612,298,NA,NA,NA,NA,62,10.1,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03353,LK,Harburg,241827,1371,567,NA,NA,NA,NA,100,7.3,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03354,LK,Lüchow-Dannenberg,51352,54,105,NA,NA,NA,NA,10,18.5,NA,NA,NA,NA,NA
