Schluesselzahl,Straftat,Kreisschluessel,Kreisart,Kreis,Einwohner,Erfasste_Faelle,Straftaten_HZ,Versuche_Anzahl,Versuche_Anteil_Prozent,Mit_Schusswaffe_gedroht,Mit_Schusswaffe_geschossen,Aufklaerung_Faelle,Aufklaerungsquote,Tatverdaechtige_Insgesamt,Tatverdaechtige_Maennlich,Tatverdaechtige_Weiblich,Nichtdeutsche_Tatverdaechtige_Anzahl,Nichtdeutsche_Tatverdaechtige_Prozent
*50*00,DiebstahlKfz,01001,KfS,Flensburg,89357,606,678,NA,NA,NA,NA,55,9.1,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,01002,KfS,Kiel,242041,2166,895,NA,NA,NA,NA,82,3.8,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,01003,KfS,Lübeck,210577,1754,833,NA,NA,NA,NA,61,3.5,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,01004,KfS,Neumünster,76939,616,801,NA,NA,NA,NA,48,7.8,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,01051,K,Dithmarschen,134068,469,350,NA,NA,NA,NA,23,4.9,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,01053,K,Herzogtum Lauenburg,187409,915,488,NA,NA,NA,NA,49,5.4,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,01054,K,Nordfriesland,165058,485,294,NA,NA,NA,NA,63,13,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,01055,K,Ostholstein,203808,1223,600,NA,NA,NA,NA,43,3.5,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,01056,K,Pinneberg,305102,1455,477,NA,NA,NA,NA,63,4.3,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,01057,K,Plön,133433,595,446,NA,NA,NA,NA,48,8.1,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,01058,K,Rendsburg-Eckernförde,269019,1324,492,NA,NA,NA,NA,91,6.9,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,01059,K,Schleswig-Flensburg,197358,728,369,NA,NA,NA,NA,64,8.8,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,01060,K,Segeberg,260106,1449,557,NA,NA,NA,NA,57,3.9,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,01061,K,Steinburg,132274,630,476,NA,NA,NA,NA,26,4.1,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,01062,K,Stormarn,231092,1345,582,NA,NA,NA,NA,87,6.5,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,02000,KfS,Hamburg,1798836,16819,935,NA,NA,NA,NA,538,3.2,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03101,KfS,Braunschweig,250556,787,314,NA,NA,NA,NA,53,6.7,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03102,KfS,Salzgitter,101750,254,250,NA,NA,NA,NA,17,6.7,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03103,KfS,Wolfsburg,122583,599,489,NA,NA,NA,NA,131,21.8,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03151,LK,Gifhorn,172010,341,198,NA,NA,NA,NA,46,13.5,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03152,LK,Göttingen,258166,909,352,NA,NA,NA,NA,150,16.5,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03153,LK,Goslar,142111,350,246,NA,NA,NA,NA,53,15.2,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03154,LK,Helmstedt,92062,306,332,NA,NA,NA,NA,24,7.8,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03155,LK,Northeim,137658,368,267,NA,NA,NA,NA,30,8.2,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03156,LK,Osterodeam Harz,76370,123,161,NA,NA,NA,NA,11,8.9,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03157,LK,Peine,131075,381,291,NA,NA,NA,NA,74,19.4,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03158,LK,Wolfenbüttel,121639,219,180,NA,NA,NA,NA,30,13.7,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03241,LK,Region Hannover,1135967,4703,414,NA,NA,NA,NA,522,11.1,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03251,LK,Diepholz,213393,553,259,NA,NA,NA,NA,63,11.4,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03252,LK,Hameln-Pyrmont,152682,298,195,NA,NA,NA,NA,44,14.8,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03254,LK,Hildesheim,281066,669,238,NA,NA,NA,NA,83,12.4,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03255,LK,Holzminden,72423,75,104,NA,NA,NA,NA,9,12,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03256,LK,Nienburg (Weser),122225,337,276,NA,NA,NA,NA,97,28.8,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03257,LK,Schaumburg,159733,411,257,NA,NA,NA,NA,54,13.1,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03351,LK,Celle,177591,511,288,NA,NA,NA,NA,134,26.2,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03352,LK,Cuxhaven,199443,519,260,NA,NA,NA,NA,101,19.5,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03353,LK,Harburg,247989,1034,417,NA,NA,NA,NA,110,10.6,NA,NA,NA,NA,NA
