"Schluesselzahl","Straftat","Kreisschluessel","Kreisart","Kreis","Einwohner","Erfasste_Faelle","Straftaten_HZ","Versuche_Anzahl","Versuche_Anteil_Prozent","Mit_Schusswaffe_gedroht","Mit_Schusswaffe_geschossen","Aufklaerung_Faelle","Aufklaerungsquote","Tatverdaechtige_Insgesamt","Tatverdaechtige_Maennlich","Tatverdaechtige_Weiblich","Nichtdeutsche_Tatverdaechtige_Anzahl","Nichtdeutsche_Tatverdaechtige_Prozent"
"***100","Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme","01001","KfS","Flensburg",,36,43.1334020272699,7,19.4,0,0,14,38.9,20,17,3,5,25
"***100","Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme","01002","KfS","Kiel",,127,52.9462283108069,18,14.2,0,0,35,27.6,29,29,0,7,24.1
"***100","Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme","01003","KfS","Lübeck",,111,52.429468195151,20,18,0,0,11,9.9,11,11,0,2,18.2
"***100","Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme","01004","KfS","Neumünster",,38,49.3820743070266,4,10.5,0,0,14,36.8,16,14,2,4,25
"***100","Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme","01051","K","Dithmarschen",,30,22.5623284322942,6,20,0,0,9,30,10,10,0,0,0
"***100","Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme","01053","K","Herzogtum Lauenburg",,188,100.050557462548,42,22.3,0,0,28,14.9,28,24,4,9,32.1
"***100","Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme","01054","K","Nordfriesland",,66,40.681225614379,5,7.6,0,0,38,57.6,36,35,1,8,22.2
"***100","Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme","01055","K","Ostholstein",,72,36.385320544567,11,15.3,0,0,21,29.2,19,18,1,4,21.1
"***100","Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme","01056","K","Pinneberg",,96,32.1257186456332,8,8.3,0,0,31,32.3,36,35,1,18,50
"***100","Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme","01057","K","Plön",,26,20.5175148554699,3,11.5,0,0,9,34.6,9,6,3,3,33.3
"***100","Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme","01058","K","Rendsburg-Eckernförde",,86,32.0826089876072,11,12.8,0,0,33,38.4,40,34,6,5,12.5
"***100","Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme","01059","K","Schleswig-Flensburg",,51,26.1657884880792,7,13.7,0,0,20,39.2,27,27,0,3,11.1
"***100","Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme","01060","K","Segeberg",,124,47.3304120799426,20,16.1,0,0,27,21.8,32,29,3,12,37.5
"***100","Diebstahl insgesamt von Kraftwagen einschl. unbefugte Ingebrauchnahme","01061","K","Steinburg",,48,36.8847735044377,8,16.7,0,0,14,29.2,24,22,2,6,25
