"Schluesselzahl","Straftat","Kreisschluessel","Kreisart","Kreis","Einwohner","Erfasste_Faelle","Straftaten_HZ","Versuche_Anzahl","Versuche_Anteil_Prozent","Mit_Schusswaffe_gedroht","Mit_Schusswaffe_geschossen","Aufklaerung_Faelle","Aufklaerungsquote","Tatverdaechtige_Insgesamt","Tatverdaechtige_Maennlich","Tatverdaechtige_Weiblich","Nichtdeutsche_Tatverdaechtige_Anzahl","Nichtdeutsche_Tatverdaechtige_Prozent"
"****00","Diebstahl insgesamt und zwar:","01001","KfS","Flensburg",,4462,5313.73926712794,604,13.5,0,0,1615,36.2,1114,786,328,311,27.9
"****00","Diebstahl insgesamt und zwar:","01002","KfS","Kiel",,12020,4976.54564800669,1465,12.2,0,0,2846,23.7,1975,1380,595,397,20.1
"****00","Diebstahl insgesamt und zwar:","01003","KfS","Lübeck",,11329,5319.8283229557,1180,10.4,0,0,3204,28.3,2266,1588,678,507,22.4
"****00","Diebstahl insgesamt und zwar:","01004","KfS","Neumünster",,4045,5249.2927405331,579,14.3,0,0,1032,25.5,906,656,250,274,30.2
"****00","Diebstahl insgesamt und zwar:","01051","K","Dithmarschen",,3286,2476.91553913994,365,11.1,0,0,869,26.4,655,452,203,111,16.9
"****00","Diebstahl insgesamt und zwar:","01053","K","Herzogtum Lauenburg",,4453,2355.5487375888,711,16,0,0,984,22.1,936,669,267,244,26.1
"****00","Diebstahl insgesamt und zwar:","01054","K","Nordfriesland",,3997,2468.45722967089,396,9.9,0,0,1105,27.6,780,575,205,117,15
"****00","Diebstahl insgesamt und zwar:","01055","K","Ostholstein",,5658,2859.95905678975,765,13.5,0,0,1262,22.3,1086,797,289,241,22.2
"****00","Diebstahl insgesamt und zwar:","01056","K","Pinneberg",,8782,2915.4480235573,1048,11.9,0,0,1749,19.9,1585,1161,424,555,35
"****00","Diebstahl insgesamt und zwar:","01057","K","Plön",,2854,2253.57895817376,431,15.1,0,0,630,22.1,623,486,137,113,18.1
"****00","Diebstahl insgesamt und zwar:","01058","K","Rendsburg-Eckernförde",,6178,2304.57894246013,867,14,0,0,1430,23.1,1157,868,289,203,17.5
