"Schluesselzahl","Straftat","Kreisschluessel","Kreisart","Kreis","Einwohner","Erfasste_Faelle","Straftaten_HZ","Versuche_Anzahl","Versuche_Anteil_Prozent","Mit_Schusswaffe_gedroht","Mit_Schusswaffe_geschossen","Aufklaerung_Faelle","Aufklaerungsquote","Tatverdaechtige_Insgesamt","Tatverdaechtige_Maennlich","Tatverdaechtige_Weiblich","Nichtdeutsche_Tatverdaechtige_Anzahl","Nichtdeutsche_Tatverdaechtige_Prozent"
"****00","Diebstahl insgesamt und zwar:","01001","KfS","Flensburg",,3292,3660.46211666333,449,13.6,0,0,1416,43,893,607,286,352,39.4
"****00","Diebstahl insgesamt und zwar:","01002","KfS","Kiel",,9055,3671.92347151877,945,10.4,0,0,2889,31.9,1697,1181,516,467,27.5
"****00","Diebstahl insgesamt und zwar:","01003","KfS","Lübeck",,6398,2964.15036646498,812,12.7,0,0,1911,29.9,1344,926,418,417,31
"****00","Diebstahl insgesamt und zwar:","01004","KfS","Neumünster",,3054,3822.03867092172,338,11.1,0,0,1005,32.9,716,559,157,359,50.1
"****00","Diebstahl insgesamt und zwar:","01051","K","Dithmarschen",,1933,1450.6457737653,190,9.8,0,0,654,33.8,551,364,187,193,35
"****00","Diebstahl insgesamt und zwar:","01053","K","Herzogtum Lauenburg",,2953,1482.78701695188,441,14.9,0,0,732,24.8,674,479,195,251,37.2
"****00","Diebstahl insgesamt und zwar:","01054","K","Nordfriesland",,2497,1493.89459577498,267,10.7,0,0,719,28.8,529,377,152,137,25.9
"****00","Diebstahl insgesamt und zwar:","01055","K","Ostholstein",,2863,1420.93534570469,297,10.4,0,0,677,23.6,612,425,187,124,20.3
"****00","Diebstahl insgesamt und zwar:","01056","K","Pinneberg",,6052,1908.63648548496,771,12.7,0,0,1419,23.4,1120,772,348,414,37
"****00","Diebstahl insgesamt und zwar:","01057","K","Plön",,1598,1235.37915626232,184,11.5,0,0,477,29.8,440,318,122,108,24.5
"****00","Diebstahl insgesamt und zwar:","01058","K","Rendsburg-Eckernförde",,3936,1432.49686095391,473,12,0,0,1035,26.3,856,621,235,257,30
"****00","Diebstahl insgesamt und zwar:","01059","K","Schleswig-Flensburg",,2471,1219.36174727482,279,11.3,0,0,829,33.5,641,485,156,130,20.3
"****00","Diebstahl insgesamt und zwar:","01060","K","Segeberg",,4373,1572.981975274,448,10.2,0,0,1035,23.7,946,723,223,401,42.4
"****00","Diebstahl insgesamt und zwar:","01061","K","Steinburg",,1927,1474.30110323933,233,12.1,0,0,503,26.1,405,296,109,89,22
"****00","Diebstahl insgesamt und zwar:","01062","K","Stormarn",,3967,1619.25637477601,396,10,0,0,885,22.3,839,604,235,303,36.1
"****00","Diebstahl insgesamt und zwar:","02000","KfS","Hamburg",,71007,3833.08195832825,7585,10.7,0,0,15248,21.5,10854,7493,3361,5380,49.6
"****00","Diebstahl insgesamt und zwar:","03101","KfS","Braunschweig",,5191,2088.42095099392,530,10.2,0,0,1904,36.7,1467,1033,434,534,36.4
