Schluesselzahl,Straftat,Kreisschluessel,Kreisart,Kreis,Einwohner,Erfasste_Faelle,Straftaten_HZ,Versuche_Anzahl,Versuche_Anteil_Prozent,Mit_Schusswaffe_gedroht,Mit_Schusswaffe_geschossen,Aufklaerung_Faelle,Aufklaerungsquote,Tatverdaechtige_Insgesamt,Tatverdaechtige_Maennlich,Tatverdaechtige_Weiblich,Nichtdeutsche_Tatverdaechtige_Anzahl,Nichtdeutsche_Tatverdaechtige_Prozent
*50*00,DiebstahlKfz,01001,SK,Flensburg,84704,811,957,NA,NA,NA,NA,82,10.1,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,01002,SK,Kiel,233270,3235,1387,NA,NA,NA,NA,142,4.4,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,01003,SK,Lübeck,213301,2214,1038,NA,NA,NA,NA,151,6.8,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,01004,SK,Neumünster,79544,1059,1331,NA,NA,NA,NA,42,4,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,01051,LK,Dithmarschen,137447,856,623,NA,NA,NA,NA,80,9.3,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,01053,LK,Herzogtum Lauenburg,183804,1178,641,NA,NA,NA,NA,40,3.4,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,01054,LK,Nordfriesland,165678,611,369,NA,NA,NA,NA,85,13.9,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,01055,LK,Ostholstein,204498,1493,730,NA,NA,NA,NA,48,3.2,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,01056,LK,Pinneberg,295643,2114,715,NA,NA,NA,NA,123,5.8,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,01057,LK,Plön,134368,766,570,NA,NA,NA,NA,67,8.7,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,01058,LK,Rendsburg-Eckernförde,272681,1451,532,NA,NA,NA,NA,144,9.9,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,01059,LK,Schleswig-Flensburg,199227,642,322,NA,NA,NA,NA,40,6.2,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,01060,LK,Segeberg,254165,1998,786,NA,NA,NA,NA,72,3.6,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,01061,LK,Steinburg,136913,741,541,NA,NA,NA,NA,54,7.3,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,01062,LK,Stormarn,221264,2047,925,NA,NA,NA,NA,106,5.2,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,02000,SK,Hamburg,1728806,28836,1668,NA,NA,NA,NA,836,2.9,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03101,SK,Braunschweig,245392,1507,614,NA,NA,NA,NA,234,15.5,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03102,SK,Salzgitter,110817,398,359,NA,NA,NA,NA,20,5,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03103,SK,Wolfsburg,122331,1273,1041,NA,NA,NA,NA,51,4,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03151,LK,Gifhorn,173863,650,374,NA,NA,NA,NA,69,10.6,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03152,LK,Göttingen,264952,1449,547,NA,NA,NA,NA,294,20.3,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03153,LK,Goslar,154638,472,305,NA,NA,NA,NA,32,6.8,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03154,LK,Helmstedt,99140,486,490,NA,NA,NA,NA,42,8.6,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03155,LK,Northeim,149345,553,370,NA,NA,NA,NA,76,13.7,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03156,LK,Osterodeam Harz,83997,213,254,NA,NA,NA,NA,24,11.3,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03157,LK,Peine,133834,531,397,NA,NA,NA,NA,81,15.3,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03158,LK,Wolfenbüttel,127059,296,233,NA,NA,NA,NA,46,15.5,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03241,LK,Region Hannover,1125878,6699,595,NA,NA,NA,NA,831,12.4,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03251,LK,Diepholz,213963,1158,541,NA,NA,NA,NA,353,30.5,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03252,LK,Hameln-Pyrmont,161871,633,391,NA,NA,NA,NA,74,11.7,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03254,LK,Hildesheim,292908,1860,635,NA,NA,NA,NA,242,13,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03255,LK,Holzminden,80338,173,215,NA,NA,NA,NA,33,19.1,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03256,LK,Nienburg (Weser),126167,546,433,NA,NA,NA,NA,47,8.6,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03257,LK,Schaumburg,166751,805,483,NA,NA,NA,NA,76,9.4,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03351,LK,Celle,182421,757,415,NA,NA,NA,NA,175,23.1,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03352,LK,Cuxhaven,206304,710,344,NA,NA,NA,NA,134,18.9,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03353,LK,Harburg,237204,1812,764,NA,NA,NA,NA,245,13.5,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03354,LK,Lüchow-Dannenberg,51766,140,270,NA,NA,NA,NA,42,30,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03355,LK,Lüneburg,171563,878,512,NA,NA,NA,NA,113,12.9,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03356,LK,Osterholz,111992,553,494,NA,NA,NA,NA,106,19.2,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03357,LK,Rotenburg (Wümme),163565,687,420,NA,NA,NA,NA,144,21,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03358,LK,Soltau-Fallingbostel,142264,662,465,NA,NA,NA,NA,50,7.6,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03359,LK,Stade,193956,1395,719,NA,NA,NA,NA,93,6.7,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03360,LK,Uelzen,97464,289,297,NA,NA,NA,NA,57,19.7,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03361,LK,Verden,133693,861,644,NA,NA,NA,NA,295,34.3,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03401,SK,Delmenhorst,76083,635,835,NA,NA,NA,NA,121,19.1,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03402,SK,Emden,51351,143,278,NA,NA,NA,NA,4,2.8,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03403,SK,Oldenburg,157437,864,549,NA,NA,NA,NA,203,23.5,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03404,SK,Osnabrück,164561,3145,1911,NA,NA,NA,NA,248,7.9,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03405,SK,Wilhelmshaven,84751,256,302,NA,NA,NA,NA,40,15.6,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03451,LK,Ammerland,113164,298,263,NA,NA,NA,NA,32,10.7,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03452,LK,Aurich,188979,427,226,NA,NA,NA,NA,113,26.5,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03453,LK,Cloppenburg,152299,560,368,NA,NA,NA,NA,87,15.5,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03454,LK,Emsland,306685,1018,332,NA,NA,NA,NA,171,16.8,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03455,LK,Friesland,101653,198,195,NA,NA,NA,NA,43,21.7,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03456,LK,Grafschaft Bentheim,132254,463,350,NA,NA,NA,NA,21,4.5,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03457,LK,Leer,163789,441,269,NA,NA,NA,NA,98,22.2,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03458,LK,Oldenburg,123704,361,292,NA,NA,NA,NA,31,8.6,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03459,LK,Osnabrück,356873,1981,555,NA,NA,NA,NA,438,22.1,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03460,LK,Vechta,129533,538,415,NA,NA,NA,NA,55,10.2,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03461,LK,Wesermarsch,94333,189,200,NA,NA,NA,NA,13,6.9,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,03462,LK,Wittmund,57587,101,175,NA,NA,NA,NA,19,18.8,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,04011,SK,Bremen,542987,12071,2223,NA,NA,NA,NA,483,4,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,04012,SK,Bremerhaven,119111,1006,845,NA,NA,NA,NA,38,3.8,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,05111,SK,Düsseldorf,571886,10837,1895,NA,NA,NA,NA,347,3.2,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,05112,SK,Duisburg,508664,5575,1096,NA,NA,NA,NA,268,4.8,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,05113,SK,Essen,585481,6546,1118,NA,NA,NA,NA,196,3,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,05114,SK,Krefeld,239183,2528,1057,NA,NA,NA,NA,248,9.8,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,05116,SK,Mönchengladbach,263104,2478,942,NA,NA,NA,NA,243,9.8,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,05117,SK,Mülheima.d.Ruhr,172171,1214,705,NA,NA,NA,NA,278,22.9,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,05119,SK,Oberhausen,220928,2079,941,NA,NA,NA,NA,94,4.5,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,05120,SK,Remscheid,118339,506,428,NA,NA,NA,NA,24,4.7,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,05122,SK,Solingen,164740,766,465,NA,NA,NA,NA,53,6.9,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,05124,SK,Wuppertal,363522,3490,960,NA,NA,NA,NA,119,3.4,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,05154,LK,Kleve,304176,1722,566,NA,NA,NA,NA,155,9,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,05158,LK,Mettmann,508703,3266,642,NA,NA,NA,NA,219,6.7,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,05162,LK,Rhein-Kreis Neuss,446493,2183,489,NA,NA,NA,NA,234,10.7,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,05166,LK,Viersen,303984,1851,609,NA,NA,NA,NA,152,8.2,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,05170,LK,Wesel,477906,3804,796,NA,NA,NA,NA,571,15,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,05313,SK,Aachen,247740,3513,1418,NA,NA,NA,NA,183,5.2,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,05314,SK,Bonn,308921,2719,880,NA,NA,NA,NA,285,10.5,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,05315,SK,Köln,968639,13319,1375,NA,NA,NA,NA,440,3.3,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,05316,SK,Leverkusen,160268,829,517,NA,NA,NA,NA,63,7.6,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,05354,LK,Aachen,309223,2226,720,NA,NA,NA,NA,207,9.3,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,05358,LK,Düren,272473,1932,709,NA,NA,NA,NA,95,4.9,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,05362,LK,Erftkreis,460894,3876,841,NA,NA,NA,NA,399,10.3,NA,NA,NA,NA,NA
*50*00,DiebstahlKfz,05366,LK,Euskirchen,191635,989,516,NA,NA,NA,NA,58,5.9,NA,NA,NA,NA,NA
